student_id,course_id,term,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10027,DB401,Spring 2026,55.3,59.2,56.5,2.26,4,23,Female,Medium,10.0,High-Speed,Bachelors,5,14.9,3,9,76.7,45,20,44.1,3,44.89,High,False
STU10029,SE501,Spring 2026,50.3,49.9,50.2,2.01,3,22,Male,Low,15.1,High-Speed,Bachelors,8,14.3,6,6,78.6,40,20,50.2,5,52.82,High,False
STU10033,DS201,Spring 2026,35.4,45.5,38.4,1.54,3,21,Female,High,0.9,Moderate,Bachelors,12,12.3,3,14,60.2,40,24,59.2,1,59.64,High,True
STU10036,DB401,Spring 2026,44.4,40.8,43.3,1.73,4,23,Male,High,6.0,High-Speed,High School,9,13.7,4,7,49.1,45,28,61.4,3,54.02,High,False
STU10037,DB401,Fall 2025,41.0,41.6,41.2,1.65,3,23,Male,Medium,7.4,High-Speed,High School,9,22.5,6,3,76.8,45,26,58.7,2,58.21,High,False
STU10040,SE501,Spring 2026,49.8,50.8,50.1,2.0,4,19,Male,Low,0.3,Limited,Bachelors,6,21.2,2,8,64.8,40,21,53.0,1,48.46,High,False
STU10044,AI301,Spring 2026,42.6,43.9,43.0,1.72,3,24,Male,Medium,1.3,High-Speed,Bachelors,13,8.0,4,3,60.4,50,36,72.0,6,67.58,High,True
STU10048,SE501,Spring 2026,55.8,59.2,56.8,2.27,4,18,Female,High,9.3,Moderate,Doctorate,8,19.7,5,9,73.9,40,20,49.9,1,51.73,High,False
STU10049,AI301,Fall 2025,48.1,36.7,44.7,1.79,3,20,Male,Medium,0.8,Moderate,Doctorate,6,21.4,2,9,60.8,40,17,42.5,1,42.41,High,False
STU10050,DB401,Fall 2025,62.6,58.0,61.2,2.45,4,23,Female,Medium,0.5,High-Speed,Bachelors,7,18.6,2,2,88.8,45,25,56.6,2,56.56,High,False
STU10052,SE501,Fall 2025,59.0,58.1,58.7,2.35,4,21,Female,Low,7.4,High-Speed,High School,8,12.4,2,12,65.1,45,25,55.0,2,52.52,High,False
STU10053,DS201,Fall 2025,45.0,41.2,43.8,1.75,3,22,Female,High,9.6,Moderate,Masters,18,17.4,1,9,72.8,45,28,62.7,1,72.91,High,True
STU10054,DB401,Fall 2025,53.2,49.2,52.0,2.08,3,18,Female,Medium,12.3,High-Speed,Bachelors,13,8.9,6,10,77.7,45,24,53.9,5,61.99,High,False
STU10056,AI301,Fall 2025,64.8,64.2,64.6,2.58,4,24,Male,Low,6.9,High-Speed,Masters,10,13.8,3,2,86.5,40,23,57.6,2,61.1,High,False
STU10059,CS101,Fall 2025,57.3,60.0,58.1,2.32,3,20,Male,Low,3.0,High-Speed,Bachelors,10,17.2,1,6,76.8,45,27,59.7,0,60.21,High,False
STU10061,SE501,Spring 2026,41.2,40.2,40.9,1.64,4,23,Male,Medium,0.8,Limited,Bachelors,12,20.8,7,10,56.4,45,27,59.2,6,58.88,High,True
STU10064,DB401,Spring 2026,41.4,38.4,40.5,1.62,3,20,Male,Medium,17.2,Moderate,High School,9,18.0,4,3,68.7,45,25,55.4,3,54.94,High,False
STU10070,AI301,Fall 2025,57.4,55.5,56.8,2.27,3,23,Female,Medium,7.6,Moderate,Bachelors,8,12.4,0,10,93.8,50,30,59.4,1,60.46,High,False
STU10071,DS201,Fall 2025,55.7,49.2,53.7,2.15,3,25,Male,Medium,11.9,Moderate,High School,8,20.2,2,14,62.1,40,23,56.6,3,52.72,High,False
STU10073,DS201,Spring 2026,45.1,39.2,43.3,1.73,3,25,Female,Medium,3.1,High-Speed,Masters,10,8.0,2,6,62.6,40,21,53.3,2,54.17,High,True
STU10078,SE501,Fall 2025,64.3,55.1,61.5,2.46,3,18,Male,High,5.2,High-Speed,High School,11,4.6,7,3,67.8,45,24,53.3,4,56.71,High,False
STU10082,CS101,Fall 2025,41.3,40.5,41.1,1.64,3,23,Male,Medium,0.1,Moderate,Doctorate,8,12.3,5,7,53.6,50,33,66.0,6,55.72,High,False
STU10085,DS201,Fall 2025,37.2,37.3,37.2,1.49,3,20,Male,Medium,0.4,Moderate,Masters,7,20.5,4,3,51.8,50,31,62.4,5,52.06,High,False
STU10093,CS101,Fall 2025,35.9,33.0,35.0,1.4,4,19,Female,Medium,5.4,High-Speed,Bachelors,12,18.7,4,2,85.2,45,27,61.1,2,65.59,High,True
STU10095,SE501,Spring 2026,43.1,42.1,42.8,1.71,3,21,Female,High,9.1,Limited,High School,14,14.1,1,7,65.6,50,36,71.0,4,69.62,High,True
STU10096,DS201,Fall 2025,43.8,37.6,41.9,1.68,4,23,Female,Medium,9.6,Limited,High School,13,15.1,7,8,52.5,45,27,61.1,3,60.55,High,True
STU10098,CS101,Spring 2026,41.0,42.9,41.6,1.66,3,22,Male,High,4.5,High-Speed,Bachelors,11,12.3,3,6,58.8,45,32,72.1,4,64.31,High,True
