student_id,course_id,term,term_index,midterm_score,assignment_score,final_score,gpa,credits
STU10111,CS101,Fall 2024,2,55.8,52.0,54.7,2.19,3
STU10112,AI301,Fall 2023,0,51.4,47.3,50.2,2.01,4
STU10113,AI301,Fall 2025,4,52.5,54.0,52.9,2.12,4
STU10114,DB401,Spring 2025,3,59.9,52.8,57.8,2.31,4
STU10115,DS201,Fall 2024,2,60.9,65.3,62.2,2.49,3
STU10116,DS201,Spring 2026,5,44.2,43.6,44.0,1.76,3
STU10117,DS201,Spring 2024,1,69.6,64.8,68.2,2.73,3
STU10118,SE501,Spring 2026,5,57.2,49.7,55.0,2.2,4
STU10119,DS201,Fall 2024,2,57.1,62.1,58.6,2.34,4
STU10120,DB401,Spring 2026,5,72.0,60.7,68.6,2.74,4
STU10121,SE501,Fall 2025,4,63.1,65.4,63.8,2.55,3
STU10122,CS101,Fall 2024,2,53.1,53.8,53.3,2.13,3
STU10123,SE501,Spring 2026,5,53.8,57.0,54.8,2.19,4
STU10124,CS101,Fall 2025,4,59.7,54.3,58.1,2.32,3
STU10125,AI301,Spring 2024,1,61.4,58.0,60.4,2.42,4
STU10126,CS101,Spring 2025,3,43.3,45.0,43.8,1.75,3
STU10127,DS201,Fall 2025,4,46.1,46.4,46.2,1.85,3
STU10128,CS101,Fall 2025,4,65.1,69.5,66.4,2.66,3
STU10129,DS201,Fall 2024,2,41.3,41.1,41.3,1.65,4
STU10130,SE501,Fall 2025,4,41.8,48.8,43.9,1.76,4
STU10131,CS101,Fall 2025,4,47.9,48.6,48.1,1.92,3
STU10132,AI301,Fall 2025,4,52.5,60.6,54.9,2.2,3
STU10133,DS201,Spring 2026,5,47.7,56.3,50.3,2.01,3
STU10134,CS101,Spring 2024,1,41.6,50.4,44.2,1.77,3
STU10135,SE501,Spring 2024,1,45.4,41.8,44.3,1.77,4
STU10136,DS201,Fall 2025,4,60.3,66.4,62.1,2.48,3
STU10137,CS101,Spring 2025,3,47.0,46.9,47.0,1.88,3
STU10138,DS201,Fall 2023,0,52.8,52.7,52.8,2.11,4
STU10139,DB401,Spring 2024,1,64.4,68.5,65.6,2.62,3
STU10140,DB401,Fall 2025,4,60.8,59.0,60.3,2.41,3
STU10141,SE501,Fall 2023,0,46.4,38.0,43.9,1.76,3
STU10142,AI301,Fall 2023,0,64.6,64.7,64.6,2.58,4
STU10143,DB401,Spring 2026,5,54.4,63.8,57.2,2.29,4
STU10144,SE501,Fall 2024,2,59.0,57.3,58.5,2.34,3
STU10145,DB401,Spring 2025,3,56.0,55.6,55.9,2.24,3
STU10146,SE501,Fall 2024,2,39.6,41.6,40.2,1.61,4
STU10147,AI301,Fall 2025,4,52.5,50.6,51.9,2.08,3
STU10148,DB401,Fall 2023,0,59.2,58.2,58.9,2.36,3
STU10149,DB401,Spring 2026,5,46.3,46.9,46.5,1.86,4
STU10150,CS101,Fall 2023,0,50.5,48.4,49.9,2.0,4
STU10151,SE501,Fall 2023,0,43.1,49.6,45.0,1.8,4
STU10152,DS201,Fall 2024,2,48.1,58.7,51.3,2.05,4
STU10153,SE501,Spring 2024,1,50.2,52.5,50.9,2.04,4
STU10154,SE501,Spring 2025,3,46.2,43.7,45.4,1.82,3
STU10155,DB401,Fall 2023,0,42.2,44.7,42.9,1.72,4
STU10156,DB401,Spring 2025,3,60.6,54.9,58.9,2.36,4
STU10157,SE501,Spring 2026,5,57.6,50.7,55.5,2.22,3
STU10158,SE501,Fall 2023,0,42.7,42.3,42.6,1.7,4
STU10159,SE501,Fall 2024,2,51.9,58.2,53.8,2.15,3
STU10160,AI301,Fall 2025,4,43.0,50.0,45.1,1.8,4
STU10161,DB401,Spring 2024,1,40.9,42.9,41.5,1.66,3
STU10162,DS201,Fall 2025,4,41.9,45.4,43.0,1.72,4
STU10163,DS201,Fall 2024,2,71.1,72.2,71.4,2.86,4
STU10164,DS201,Fall 2023,0,67.4,66.9,67.3,2.69,3
STU10165,DS201,Spring 2026,5,60.0,53.9,58.2,2.33,4
STU10166,DS201,Spring 2025,3,40.8,46.8,42.6,1.7,3
STU10167,DS201,Spring 2026,5,60.6,58.5,60.0,2.4,4
STU10168,AI301,Fall 2024,2,63.8,68.0,65.1,2.6,3
STU10169,CS101,Spring 2026,5,58.4,58.2,58.3,2.33,4
STU10170,DS201,Fall 2025,4,57.7,52.9,56.3,2.25,3
STU10171,AI301,Fall 2025,4,52.1,48.0,50.9,2.04,4
STU10172,AI301,Fall 2025,4,62.0,59.1,61.1,2.44,4
STU10173,AI301,Spring 2026,5,56.2,56.7,56.3,2.25,4
STU10174,DS201,Fall 2023,0,43.5,49.4,45.3,1.81,3
STU10175,DB401,Fall 2025,4,57.6,61.2,58.7,2.35,4
STU10176,CS101,Fall 2025,4,55.9,51.9,54.7,2.19,4
STU10177,CS101,Fall 2023,0,55.2,48.6,53.2,2.13,4
STU10178,CS101,Fall 2023,0,61.9,65.3,62.9,2.52,3
STU10179,DS201,Fall 2024,2,51.9,61.6,54.8,2.19,4
STU10180,DS201,Fall 2023,0,58.2,63.0,59.6,2.38,4
STU10181,SE501,Spring 2026,5,65.2,75.4,68.3,2.73,4
STU10182,AI301,Spring 2025,3,57.4,54.9,56.6,2.26,3
STU10183,DS201,Spring 2025,3,62.7,62.7,62.7,2.51,3
STU10184,CS101,Spring 2024,1,25.0,30.9,26.5,1.06,3
STU10185,CS101,Fall 2023,0,74.3,66.1,71.8,2.87,4
STU10186,DS201,Fall 2025,4,55.6,57.5,56.2,2.25,3
STU10187,DS201,Spring 2024,1,46.3,47.9,46.8,1.87,4
STU10188,DB401,Spring 2025,3,42.9,49.9,45.0,1.8,4
STU10189,SE501,Spring 2026,5,42.7,37.9,41.3,1.65,4
STU10190,DS201,Fall 2024,2,69.4,68.3,69.1,2.76,4
STU10191,DS201,Spring 2026,5,67.6,64.2,66.6,2.66,3
STU10192,SE501,Spring 2026,5,59.5,59.0,59.3,2.37,3
STU10193,SE501,Spring 2026,5,69.4,63.2,67.5,2.7,4
STU10194,CS101,Spring 2026,5,33.4,36.1,34.2,1.37,3
STU10195,AI301,Fall 2024,2,40.5,41.3,40.7,1.63,4
STU10196,DS201,Spring 2024,1,49.0,47.6,48.6,1.94,3
STU10197,DS201,Fall 2025,4,49.0,50.4,49.4,1.98,3
STU10198,DB401,Fall 2023,0,62.1,64.3,62.7,2.51,3
STU10199,DB401,Fall 2024,2,60.7,68.1,62.9,2.52,3
STU10200,SE501,Fall 2025,4,39.6,39.1,39.5,1.58,3
STU10201,SE501,Fall 2023,0,73.6,80.3,75.6,3.02,4
STU10202,SE501,Spring 2024,1,59.3,55.2,58.1,2.32,3
STU10203,CS101,Fall 2023,0,51.3,48.2,50.4,2.02,3
STU10204,SE501,Spring 2025,3,45.4,53.4,47.8,1.91,3
STU10205,DB401,Fall 2025,4,51.4,57.5,53.2,2.13,3
STU10206,CS101,Fall 2024,2,60.6,52.1,58.1,2.32,4
STU10207,AI301,Fall 2025,4,65.1,54.2,61.8,2.47,4
STU10208,CS101,Fall 2025,4,31.8,39.4,34.1,1.36,3
STU10209,DB401,Fall 2024,2,59.0,58.4,58.8,2.35,4
STU10210,CS101,Spring 2024,1,59.0,55.9,58.1,2.32,3
STU10211,DS201,Spring 2024,1,58.4,59.7,58.8,2.35,3
STU10212,DS201,Fall 2023,0,70.0,67.0,69.1,2.76,4
STU10213,DS201,Fall 2025,4,55.4,55.5,55.4,2.22,4
STU10214,CS101,Spring 2024,1,50.1,48.6,49.6,1.98,3
STU10215,AI301,Spring 2026,5,72.1,70.2,71.5,2.86,3
STU10216,CS101,Spring 2024,1,56.5,46.9,53.6,2.14,4
STU10217,AI301,Spring 2025,3,57.4,52.3,55.9,2.24,4
STU10218,DB401,Spring 2026,5,58.7,64.3,60.4,2.42,4
STU10219,AI301,Fall 2023,0,59.1,62.9,60.2,2.41,4
STU10220,DB401,Fall 2025,4,69.3,70.4,69.6,2.78,3
STU10221,DB401,Fall 2025,4,62.0,66.0,63.2,2.53,3
STU10222,AI301,Fall 2024,2,43.5,43.9,43.6,1.74,4
STU10223,DB401,Fall 2024,2,58.7,50.1,56.1,2.24,3
STU10224,DB401,Fall 2023,0,44.5,38.9,42.8,1.71,3
STU10225,DB401,Spring 2025,3,69.0,71.5,69.8,2.79,4
STU10226,DS201,Spring 2025,3,46.6,37.9,44.0,1.76,3
STU10227,SE501,Spring 2024,1,41.7,37.7,40.5,1.62,4
STU10228,CS101,Spring 2024,1,51.8,48.2,50.7,2.03,4
STU10229,DB401,Fall 2025,4,66.5,67.8,66.9,2.68,4
STU10230,AI301,Spring 2026,5,77.5,76.4,77.2,3.09,4
STU10231,CS101,Fall 2025,4,58.5,59.4,58.8,2.35,3
STU10232,DS201,Spring 2025,3,57.2,59.5,57.9,2.32,3
STU10233,SE501,Spring 2026,5,47.0,48.8,47.5,1.9,4
STU10234,SE501,Spring 2026,5,48.3,52.6,49.6,1.98,3
STU10235,SE501,Spring 2026,5,55.1,55.9,55.3,2.21,3
STU10236,SE501,Fall 2023,0,40.9,36.0,39.4,1.58,4
STU10237,AI301,Spring 2025,3,55.0,48.7,53.1,2.12,4
STU10238,SE501,Spring 2024,1,52.7,54.7,53.3,2.13,4
STU10239,DB401,Spring 2026,5,53.4,52.9,53.3,2.13,3
STU10240,DB401,Fall 2025,4,32.1,32.0,32.1,1.28,4
STU10241,AI301,Spring 2025,3,58.6,55.3,57.6,2.3,4
STU10242,AI301,Spring 2025,3,50.2,49.9,50.1,2.0,3
STU10243,CS101,Spring 2026,5,42.4,34.8,40.1,1.6,3
STU10244,DS201,Fall 2023,0,43.2,36.1,41.1,1.64,3
STU10245,DB401,Fall 2025,4,44.1,58.7,48.5,1.94,3
STU10246,CS101,Spring 2024,1,55.8,45.0,52.5,2.1,3
STU10247,CS101,Fall 2023,0,44.0,38.8,42.4,1.7,3
STU10248,DB401,Spring 2025,3,45.9,40.0,44.1,1.76,4
STU10249,DB401,Fall 2024,2,63.6,57.7,61.8,2.47,4
STU10250,SE501,Spring 2025,3,44.2,41.9,43.5,1.74,3
STU10251,CS101,Spring 2026,5,55.0,48.4,53.0,2.12,3
STU10252,DB401,Spring 2025,3,53.0,56.4,54.0,2.16,3
STU10253,DS201,Spring 2026,5,42.0,42.4,42.1,1.68,4
STU10254,DS201,Spring 2026,5,40.0,42.2,40.6,1.62,4
STU10255,DB401,Spring 2024,1,41.3,42.5,41.6,1.66,4
STU10256,DB401,Fall 2025,4,66.5,63.0,65.5,2.62,4
STU10257,SE501,Fall 2025,4,62.7,58.7,61.5,2.46,4
STU10258,DB401,Spring 2026,5,41.0,47.6,43.0,1.72,3
STU10259,DB401,Spring 2025,3,59.1,59.7,59.3,2.37,3
STU10260,AI301,Fall 2024,2,72.2,72.8,72.4,2.9,3
STU10261,AI301,Fall 2025,4,43.3,43.8,43.4,1.74,4
STU10262,CS101,Fall 2023,0,62.0,62.5,62.2,2.49,3
STU10263,AI301,Fall 2025,4,53.6,46.3,51.4,2.06,4
STU10264,SE501,Spring 2026,5,48.5,50.4,49.1,1.96,4
STU10265,DS201,Spring 2025,3,52.7,65.5,56.5,2.26,4
STU10266,DB401,Spring 2025,3,43.3,43.7,43.4,1.74,3
STU10267,DB401,Spring 2025,3,50.2,58.9,52.8,2.11,3
STU10268,SE501,Fall 2024,2,59.2,59.9,59.4,2.38,4
STU10269,AI301,Fall 2025,4,52.5,54.0,53.0,2.12,3
STU10270,DB401,Spring 2026,5,52.0,53.6,52.5,2.1,3
STU10271,CS101,Fall 2024,2,59.2,49.5,56.3,2.25,4
STU10272,CS101,Fall 2023,0,59.9,52.3,57.6,2.3,4
STU10273,DB401,Spring 2024,1,75.4,74.5,75.1,3.0,3
STU10274,SE501,Fall 2024,2,54.9,63.6,57.5,2.3,3
STU10275,AI301,Fall 2024,2,38.0,35.7,37.3,1.49,4
STU10276,AI301,Fall 2023,0,48.6,51.2,49.4,1.98,3
STU10277,DS201,Fall 2025,4,69.0,64.3,67.6,2.7,4
STU10278,CS101,Spring 2024,1,81.2,86.0,82.6,3.3,4
STU10279,AI301,Spring 2026,5,50.9,43.6,48.7,1.95,4
STU10280,DS201,Fall 2024,2,44.1,49.5,45.7,1.83,3
STU10281,DB401,Fall 2024,2,52.2,52.0,52.1,2.08,4
STU10282,SE501,Fall 2025,4,57.8,56.8,57.5,2.3,3
STU10283,DS201,Spring 2025,3,51.5,55.0,52.6,2.1,4
STU10284,DB401,Spring 2026,5,52.2,58.9,54.2,2.17,4
STU10285,DB401,Fall 2025,4,55.1,47.3,52.8,2.11,4
STU10286,CS101,Fall 2025,4,48.2,51.6,49.2,1.97,3
STU10287,DS201,Fall 2025,4,33.7,30.0,32.6,1.3,4
STU10288,CS101,Spring 2024,1,60.6,57.3,59.6,2.38,3
STU10289,DS201,Spring 2024,1,47.5,34.9,43.7,1.75,4
STU10290,DS201,Spring 2024,1,52.6,51.2,52.2,2.09,4
STU10291,CS101,Spring 2026,5,52.6,53.6,52.9,2.12,3
STU10292,AI301,Spring 2025,3,40.6,45.4,42.0,1.68,3
STU10293,CS101,Spring 2026,5,64.3,65.9,64.8,2.59,3
STU10294,SE501,Spring 2024,1,51.1,51.3,51.2,2.05,3
STU10295,CS101,Fall 2024,2,57.4,62.0,58.8,2.35,3
STU10296,CS101,Spring 2025,3,63.3,70.0,65.3,2.61,4
STU10297,DS201,Spring 2026,5,64.6,69.9,66.2,2.65,3
STU10298,CS101,Fall 2024,2,58.9,69.3,62.0,2.48,4
STU10299,AI301,Fall 2024,2,57.9,55.3,57.1,2.28,4
STU10300,CS101,Spring 2026,5,60.7,67.1,62.6,2.5,4
STU10301,SE501,Spring 2024,1,62.3,55.0,60.1,2.4,3
STU10302,AI301,Fall 2023,0,56.7,50.5,54.9,2.2,3
STU10303,DB401,Spring 2025,3,37.3,37.2,37.3,1.49,4
STU10304,CS101,Spring 2026,5,54.7,52.3,54.0,2.16,4
STU10305,DS201,Spring 2024,1,67.1,70.7,68.2,2.73,3
STU10306,AI301,Fall 2024,2,56.4,58.7,57.1,2.28,4
STU10307,DB401,Spring 2026,5,68.1,76.0,70.5,2.82,3
STU10308,SE501,Fall 2024,2,52.1,54.8,52.9,2.12,4
STU10309,SE501,Spring 2026,5,37.4,39.8,38.1,1.52,4
STU10310,AI301,Fall 2024,2,58.4,52.7,56.7,2.27,4
STU10311,DB401,Fall 2024,2,39.5,38.3,39.2,1.57,4
STU10312,SE501,Spring 2026,5,40.7,45.4,42.1,1.68,4
STU10313,AI301,Spring 2025,3,71.6,86.3,76.0,3.04,4
STU10314,AI301,Fall 2023,0,62.4,58.2,61.1,2.44,3
STU10315,DS201,Fall 2025,4,68.7,74.6,70.5,2.82,3
STU10316,DS201,Spring 2026,5,60.6,60.7,60.6,2.42,4
STU10317,CS101,Spring 2024,1,63.8,64.4,64.0,2.56,4
STU10318,AI301,Spring 2025,3,61.0,56.9,59.8,2.39,3
STU10319,SE501,Spring 2026,5,58.0,55.6,57.3,2.29,3
STU10320,CS101,Fall 2025,4,63.9,63.5,63.8,2.55,4
STU10321,CS101,Spring 2026,5,60.2,64.6,61.5,2.46,3
STU10322,SE501,Spring 2026,5,57.1,64.6,59.3,2.37,4
STU10323,SE501,Spring 2025,3,67.3,64.9,66.6,2.66,3
STU10324,AI301,Spring 2025,3,61.5,58.7,60.7,2.43,4
STU10325,CS101,Fall 2025,4,38.1,41.9,39.2,1.57,3
STU10326,DB401,Spring 2025,3,48.1,46.9,47.7,1.91,3
STU10327,DB401,Fall 2024,2,52.6,57.9,54.2,2.17,3
STU10328,AI301,Spring 2026,5,44.8,48.0,45.7,1.83,4
STU10329,AI301,Spring 2025,3,64.1,61.1,63.2,2.53,3
STU10330,SE501,Spring 2025,3,52.1,56.7,53.5,2.14,4
STU10331,SE501,Fall 2025,4,63.3,65.8,64.1,2.56,4
STU10332,AI301,Spring 2024,1,53.9,52.8,53.6,2.14,3
STU10333,DB401,Spring 2025,3,70.5,72.8,71.2,2.85,4
STU10334,CS101,Spring 2024,1,39.3,34.4,37.8,1.51,4
STU10335,DS201,Fall 2023,0,46.1,44.1,45.5,1.82,4
STU10336,CS101,Fall 2023,0,48.3,52.3,49.5,1.98,3
STU10337,DS201,Fall 2024,2,49.0,47.6,48.6,1.94,4
STU10338,DS201,Fall 2024,2,49.8,52.0,50.4,2.02,4
STU10339,DB401,Fall 2025,4,45.8,38.5,43.6,1.74,3
STU10340,DB401,Spring 2026,5,49.0,48.7,48.9,1.96,4
STU10341,CS101,Fall 2024,2,68.4,69.6,68.8,2.75,3
STU10342,AI301,Spring 2025,3,57.2,54.1,56.3,2.25,3
STU10343,DB401,Spring 2024,1,67.6,68.2,67.8,2.71,4
STU10344,CS101,Spring 2025,3,68.9,70.0,69.2,2.77,3
STU10345,SE501,Spring 2025,3,55.3,50.2,53.8,2.15,3
STU10346,DB401,Fall 2025,4,62.4,48.2,58.1,2.32,3
STU10347,DB401,Fall 2024,2,56.7,52.2,55.3,2.21,4
STU10348,SE501,Spring 2026,5,59.7,49.2,56.6,2.26,3
STU10349,SE501,Spring 2025,3,56.9,60.5,58.0,2.32,3
STU10350,DS201,Fall 2025,4,37.9,43.6,39.6,1.58,3
STU10351,DS201,Spring 2025,3,54.6,48.7,52.8,2.11,3
STU10352,DS201,Fall 2023,0,53.2,47.9,51.6,2.06,3
STU10353,CS101,Fall 2025,4,84.9,83.0,84.3,3.37,4
STU10354,DS201,Fall 2023,0,32.7,30.0,31.9,1.28,4
STU10355,DS201,Fall 2025,4,57.9,54.2,56.8,2.27,4
STU10356,DB401,Spring 2026,5,48.8,40.2,46.2,1.85,3
STU10357,SE501,Fall 2024,2,51.4,51.2,51.4,2.06,3
STU10358,CS101,Spring 2026,5,51.5,46.9,50.1,2.0,4
STU10359,SE501,Spring 2024,1,34.0,30.0,32.8,1.31,3
STU10360,DS201,Spring 2024,1,32.2,30.0,31.5,1.26,4
STU10361,AI301,Spring 2024,1,45.3,45.9,45.5,1.82,3
STU10362,DS201,Spring 2025,3,68.6,67.5,68.3,2.73,3
STU10363,DS201,Fall 2023,0,61.2,63.7,62.0,2.48,4
STU10364,DS201,Spring 2024,1,58.4,68.1,61.3,2.45,4
STU10365,DS201,Spring 2024,1,58.8,58.6,58.7,2.35,4
STU10366,SE501,Spring 2024,1,55.3,62.3,57.4,2.3,4
STU10367,CS101,Spring 2024,1,39.6,32.5,37.5,1.5,3
STU10368,DB401,Spring 2026,5,58.5,41.9,53.5,2.14,3
STU10369,DB401,Fall 2023,0,58.7,54.4,57.4,2.3,3
STU10370,DS201,Fall 2023,0,54.8,52.8,54.2,2.17,4
STU10371,DS201,Spring 2026,5,35.6,30.0,33.9,1.36,4
STU10372,AI301,Fall 2024,2,47.6,50.7,48.5,1.94,3
STU10373,AI301,Spring 2025,3,42.3,39.2,41.4,1.66,4
STU10374,DB401,Fall 2025,4,62.1,61.2,61.8,2.47,3
STU10375,CS101,Fall 2024,2,60.0,59.8,60.0,2.4,4
STU10376,DS201,Spring 2024,1,48.4,54.5,50.2,2.01,3
STU10377,SE501,Spring 2024,1,48.7,45.6,47.8,1.91,4
STU10378,DB401,Fall 2023,0,71.1,68.6,70.3,2.81,3
STU10379,AI301,Fall 2025,4,51.1,57.3,53.0,2.12,4
STU10380,CS101,Spring 2026,5,64.7,72.0,66.9,2.68,4
STU10381,SE501,Fall 2023,0,67.0,74.3,69.2,2.77,4
STU10382,CS101,Spring 2025,3,51.3,58.4,53.4,2.14,4
STU10383,CS101,Fall 2023,0,48.7,37.0,45.2,1.81,3
STU10384,DB401,Spring 2025,3,65.3,60.3,63.8,2.55,3
STU10385,CS101,Fall 2024,2,47.9,58.1,51.0,2.04,3
