student_id,total_classes,classes_attended,attendance_rate,tardy_count
STU10367,45,21,46.7,2
STU10368,40,27,66.9,4
STU10369,50,37,74.6,3
STU10370,40,28,69.9,7
STU10371,45,25,55.0,3
STU10372,40,25,61.6,5
STU10373,45,16,34.6,4
STU10374,45,27,60.1,3
STU10375,50,20,41.0,3
STU10376,50,29,58.7,2
STU10377,45,30,66.7,1
STU10378,40,33,83.6,4
STU10379,50,30,59.4,2
STU10380,45,27,60.3,0
STU10381,40,29,72.3,2
STU10382,40,28,69.5,2
STU10383,50,30,61.0,4
STU10384,40,26,66.2,2
STU10385,50,20,40.4,3
STU10386,40,13,33.7,3
STU10387,40,33,81.4,1
STU10388,45,28,62.9,3
STU10389,40,27,66.7,2
STU10390,40,31,77.1,2
STU10391,40,27,66.3,2
STU10392,50,35,69.6,1
STU10393,45,35,77.3,3
STU10394,45,22,49.7,3
STU10395,40,32,79.2,5
STU10396,45,23,50.8,0
STU10397,40,19,47.7,4
STU10398,50,38,77.0,2
STU10399,40,29,73.4,6
STU10400,40,25,62.9,1
STU10401,40,27,67.7,3
STU10402,40,21,53.6,1
STU10403,50,36,71.0,2
STU10404,45,29,63.4,2
STU10405,40,22,54.6,4
STU10406,45,29,64.1,5
STU10407,40,37,93.0,3
STU10408,45,28,62.1,1
STU10409,50,24,47.8,5
STU10410,45,31,69.7,4
STU10411,45,34,74.8,7
STU10412,50,40,80.5,2
STU10413,45,26,56.9,3
STU10414,40,19,46.9,6
STU10415,40,29,72.9,5
STU10416,50,37,74.0,5
STU10417,50,22,44.0,1
STU10418,50,35,69.4,2
STU10419,40,24,60.7,5
STU10420,45,29,64.9,2
STU10421,50,47,93.7,2
STU10422,40,23,56.8,2
STU10423,45,36,79.0,1
STU10424,40,31,78.5,5
STU10425,45,30,67.6,2
STU10426,50,38,75.4,1
STU10427,50,39,78.1,6
STU10428,40,28,70.7,5
STU10429,45,26,58.7,4
STU10430,40,24,59.1,2
STU10431,45,28,62.5,2
STU10432,40,30,75.4,2
STU10433,45,31,69.7,2
STU10434,50,39,78.7,5
STU10435,40,31,77.1,4
STU10436,45,32,71.1,4
STU10437,40,28,71.2,2
STU10438,40,26,65.8,6
STU10439,45,31,67.8,3
STU10440,45,14,31.4,4
STU10441,40,31,76.5,3
STU10442,40,26,65.8,2
STU10443,45,23,51.6,4
STU10444,50,33,66.4,3
STU10445,40,32,79.2,4
STU10446,40,24,60.3,3
STU10447,45,32,71.7,4
STU10448,40,16,39.7,3
STU10449,50,36,71.6,3
STU10450,40,28,69.2,6
STU10451,40,32,80.3,5
STU10452,40,29,72.1,4
STU10453,50,37,74.5,2
STU10454,50,35,70.5,8
STU10455,50,27,54.7,2
STU10456,45,22,50.0,1
STU10457,45,30,65.8,7
STU10458,50,37,73.1,4
STU10459,45,22,48.2,4
STU10460,45,37,81.9,2
STU10461,40,29,73.0,3
STU10462,45,33,73.9,4
STU10463,45,34,75.9,4
STU10464,40,24,60.8,3
STU10465,40,27,66.9,4
STU10466,45,27,60.7,3
STU10467,40,25,62.8,1
STU10468,50,42,83.2,4
STU10469,40,28,69.7,3
STU10470,45,26,57.5,7
STU10471,45,27,59.5,5
STU10472,50,29,57.2,3
STU10473,45,34,75.4,2
STU10474,40,31,76.7,7
STU10475,50,32,63.5,1
STU10476,45,31,67.9,1
STU10477,40,28,70.9,1
STU10478,40,29,72.3,3
STU10479,45,32,71.8,2
STU10480,45,31,69.9,2
STU10481,45,23,50.8,5
STU10482,45,30,65.7,1
STU10483,40,21,51.3,2
STU10484,45,39,86.8,3
STU10485,40,20,49.2,2
STU10486,40,29,73.6,3
STU10487,40,29,72.7,2
STU10488,45,37,82.2,5
STU10489,40,23,58.1,7
STU10490,50,30,59.2,3
STU10491,45,29,65.1,0
STU10492,50,33,66.6,2
STU10493,45,29,65.1,5
STU10494,45,30,67.5,4
STU10495,50,36,71.8,6
STU10496,45,21,47.0,7
STU10497,45,23,51.3,2
STU10498,40,16,40.5,4
STU10499,45,32,70.3,1
STU10500,50,31,62.5,3
STU10501,50,36,71.5,4
STU10502,45,27,59.8,4
STU10503,40,30,76.0,2
STU10504,50,35,70.4,5
STU10505,45,29,64.2,4
STU10506,45,30,67.7,4
STU10507,50,40,80.2,5
STU10508,40,31,78.0,4
STU10509,40,21,52.0,4
STU10510,50,32,64.1,3
STU10511,50,36,71.2,1
STU10512,50,44,89.0,6
STU10513,50,32,63.7,3
STU10514,40,27,67.4,2
STU10515,50,26,52.2,3
STU10516,40,29,73.3,3
STU10517,40,20,48.9,5
STU10518,40,29,73.7,6
STU10519,45,33,73.6,4
STU10520,45,28,62.7,3
STU10521,45,36,80.6,2
STU10522,50,36,72.8,4
STU10523,45,38,84.2,1
STU10524,45,28,62.4,2
STU10525,50,20,40.7,1
STU10526,45,30,67.1,4
STU10527,40,21,53.2,3
STU10528,40,21,53.3,9
STU10529,50,33,65.4,1
STU10530,50,38,75.9,3
STU10531,40,15,36.3,4
STU10532,50,33,66.5,2
STU10533,50,32,64.7,0
STU10534,50,34,67.2,1
STU10535,50,33,65.8,1
STU10536,40,21,52.0,3
STU10537,50,32,64.6,2
STU10538,45,30,67.6,2
STU10539,50,31,62.6,5
STU10540,50,34,67.9,4
STU10541,40,21,53.4,3
STU10542,45,31,69.4,5
STU10543,50,37,74.0,1
STU10544,50,25,50.6,3
STU10545,40,24,61.1,3
STU10546,50,30,60.9,3
STU10547,50,34,68.2,2
STU10548,50,45,90.8,2
STU10549,40,21,53.1,4
STU10550,50,37,74.6,4
STU10551,45,32,70.6,3
STU10552,50,31,61.9,6
STU10553,40,24,58.9,2
STU10554,45,29,65.1,3
STU10555,40,34,85.8,4
STU10556,50,44,88.5,6
STU10557,50,32,64.3,3
STU10558,40,26,64.2,1
STU10559,50,25,50.0,3
STU10560,45,29,63.9,3
STU10561,40,24,59.7,6
STU10562,50,25,49.6,1
STU10563,45,27,59.1,3
STU10564,50,34,67.0,5
STU10565,50,25,49.9,0
STU10566,40,23,58.4,4
STU10567,45,24,53.5,3
STU10568,45,15,33.9,3
STU10569,45,19,42.4,2
STU10570,50,35,69.1,0
STU10571,50,32,63.1,5
STU10572,40,29,72.2,2
STU10573,40,26,64.1,8
STU10574,50,33,66.9,1
STU10575,50,29,57.8,2
STU10576,45,30,67.1,6
STU10577,50,38,75.8,5
STU10578,45,23,50.7,4
STU10579,40,25,63.1,3
STU10580,50,36,72.3,3
STU10581,50,37,73.2,3
STU10582,45,17,38.4,1
STU10583,40,25,62.3,0
STU10584,50,26,52.1,2
STU10585,45,29,63.4,3
STU10586,50,34,67.9,6
STU10587,40,21,52.2,3
STU10588,45,35,77.6,3
STU10589,45,32,71.3,3
STU10590,45,19,41.3,4
STU10591,40,30,75.6,4
STU10592,45,25,55.6,2
STU10593,40,31,78.1,3
STU10594,50,32,63.9,1
STU10595,50,32,63.4,3
STU10596,45,35,78.5,6
STU10597,50,33,66.5,6
STU10598,50,28,56.6,1
STU10599,50,30,60.3,1
STU10600,45,34,75.1,5
STU10601,45,20,45.2,2
STU10602,40,21,53.0,2
STU10603,50,27,53.9,2
STU10604,40,18,46.2,1
STU10605,40,28,71.1,1
STU10606,50,28,56.0,1
STU10607,40,33,81.4,2
STU10608,45,28,61.6,8
STU10609,50,29,58.5,7
STU10610,50,36,71.8,2
STU10611,50,36,72.8,5
STU10612,45,26,56.8,6
STU10613,40,28,69.8,1
STU10614,45,34,74.9,2
STU10615,40,21,53.0,3
STU10616,45,28,61.9,2
STU10617,45,24,52.4,5
STU10618,50,28,56.1,1
STU10619,45,33,73.6,6
STU10620,45,26,57.9,6
STU10621,40,28,69.0,3
STU10622,40,32,79.9,4
STU10623,45,28,61.4,4
STU10624,50,35,70.2,8
STU10625,50,33,66.8,2
STU10626,40,27,67.6,3
STU10627,40,26,65.6,2
STU10628,50,33,66.6,3
STU10629,40,26,65.0,4
STU10630,40,27,66.5,3
STU10631,40,18,45.0,4
STU10632,50,31,61.5,0
STU10633,50,40,80.8,3
STU10634,45,27,59.3,2
STU10635,40,32,81.0,2
STU10636,45,26,58.3,0
STU10637,45,31,69.0,5
STU10638,45,29,63.9,0
STU10639,40,38,95.7,2
STU10640,50,28,55.8,6
STU10641,40,26,64.9,2
STU10642,50,43,85.1,2
STU10643,40,31,78.1,4
STU10644,50,29,57.8,5
STU10645,45,31,68.5,2
STU10646,40,22,56.1,3
STU10647,50,24,48.4,3
STU10648,45,28,63.0,2
STU10649,45,25,55.2,3
STU10650,45,38,83.5,3
STU10651,45,31,68.2,4
STU10652,50,25,50.6,1
STU10653,50,30,59.1,3
STU10654,45,30,66.9,4
STU10655,45,36,79.8,3
STU10656,45,26,58.7,2
STU10657,45,24,53.3,5
STU10658,45,26,58.6,3
STU10659,40,36,89.7,1
STU10660,50,35,70.9,6
STU10661,50,32,64.1,2
STU10662,40,21,51.7,5
STU10663,50,41,82.4,2
STU10664,45,32,71.6,4
STU10665,50,35,70.2,4
STU10666,45,29,64.7,3
STU10667,50,26,52.9,3
STU10668,40,26,64.2,3
STU10669,50,29,57.7,6
STU10670,45,21,47.3,1
STU10671,40,31,76.8,8
STU10672,45,24,53.3,2
STU10673,50,17,34.9,5
STU10674,40,29,72.4,4
STU10675,45,26,58.4,5
STU10676,50,37,74.0,2
STU10677,40,24,58.8,3
STU10678,50,27,54.5,6
STU10679,40,33,81.5,5
STU10680,50,26,53.0,4
STU10681,40,26,64.2,2
STU10682,45,21,46.0,1
STU10683,50,28,56.1,0
STU10684,50,29,58.4,2
STU10685,50,29,58.6,1
STU10686,40,19,47.6,3
STU10687,40,23,56.9,3
STU10688,50,27,53.3,3
STU10689,40,27,66.4,2
STU10690,45,24,54.3,3
STU10691,50,23,46.5,5
STU10692,45,36,79.3,4
STU10693,50,37,74.4,6
STU10694,50,38,76.2,0
STU10695,50,31,61.9,3
STU10696,45,33,73.9,2
STU10697,40,28,69.9,6
STU10698,45,32,70.6,1
STU10699,45,22,49.7,3
STU10700,45,32,70.1,1
STU10701,50,39,78.1,2
STU10702,40,25,62.6,1
STU10703,40,15,37.3,5
STU10704,40,26,64.7,4
STU10705,40,25,62.5,1
STU10706,45,31,69.1,1
STU10707,40,24,61.0,1
STU10708,45,34,74.9,6
STU10709,45,32,70.3,0
STU10710,40,29,71.9,2
STU10711,40,23,58.0,6
STU10712,45,36,80.0,0
STU10713,40,28,69.7,2
STU10714,50,29,57.4,2
STU10715,40,28,69.8,5
STU10716,40,30,74.4,5
STU10717,50,30,59.7,1
STU10718,40,18,44.9,1
STU10719,40,27,68.3,3
STU10720,40,30,76.1,3
STU10721,40,30,75.8,5
STU10722,40,25,62.6,2
STU10723,40,25,63.1,3
STU10724,50,28,56.9,5
STU10725,40,24,60.0,3
STU10726,50,39,78.6,6
STU10727,45,28,61.6,1
STU10728,45,35,78.2,3
STU10729,50,26,51.0,6
STU10730,40,29,71.8,4
STU10731,50,36,72.2,2
STU10732,50,29,57.1,2
STU10733,50,42,83.6,0
STU10734,50,35,70.6,2
STU10735,50,26,52.7,3
STU10736,40,24,60.4,0
STU10737,45,32,71.7,4
STU10738,50,37,74.3,4
STU10739,40,24,60.9,1
STU10740,50,19,38.5,3
STU10741,50,28,55.3,3
STU10742,50,33,65.9,3
STU10743,45,25,55.7,4
STU10744,40,22,55.6,0
STU10745,40,31,78.6,2
STU10746,50,30,60.9,5
STU10747,40,26,64.1,4
STU10748,45,20,44.0,3
STU10749,50,37,74.0,2
STU10750,50,38,76.1,1
STU10751,50,30,60.7,2
STU10752,50,29,58.3,4
STU10753,50,32,64.6,2
STU10754,40,26,66.2,3
STU10755,45,28,62.5,3
STU10756,50,22,43.1,3
STU10757,45,25,55.6,3
STU10758,50,30,59.1,7
STU10759,40,19,48.1,2
STU10760,45,16,36.1,4
STU10761,45,33,73.2,5
STU10762,50,32,64.4,5
STU10763,50,28,56.2,4
STU10764,45,26,58.4,3
STU10765,40,21,51.8,5
STU10766,50,30,59.7,3
STU10767,50,41,82.0,3
STU10768,50,36,71.2,3
STU10769,50,26,52.5,3
STU10770,45,34,75.2,2
STU10771,45,34,75.1,5
STU10772,50,18,35.6,2
STU10773,50,36,71.8,2
STU10774,40,23,57.4,3
STU10775,50,39,77.6,4
STU10776,40,20,50.4,3
STU10777,40,29,72.1,5
STU10778,50,35,70.9,1
STU10779,50,26,51.4,4
STU10780,50,41,82.6,5
STU10781,40,26,65.2,7
STU10782,45,25,54.5,5
STU10783,40,25,62.7,2
STU10784,50,30,60.4,5
STU10785,40,15,36.5,1
STU10786,45,28,61.3,1
STU10787,45,29,63.7,3
STU10788,40,24,61.0,4
STU10789,40,23,57.0,1
STU10790,50,34,68.3,4
STU10791,45,30,66.3,2
STU10792,40,19,47.7,4
STU10793,40,31,76.9,3
STU10794,40,27,68.2,1
STU10795,40,32,80.4,2
STU10796,50,41,81.8,2
STU10797,50,29,57.7,5
STU10798,40,30,75.9,1
STU10799,50,37,74.2,2
STU10800,40,34,84.6,0
STU10801,40,21,51.5,1
STU10802,45,32,71.0,3
STU10803,45,28,62.5,2
STU10804,50,37,73.9,6
STU10805,40,31,77.6,3
STU10806,50,35,70.0,6
STU10807,45,29,65.3,2
STU10808,50,33,66.8,5
STU10809,40,27,68.3,3
STU10810,50,32,63.3,3
STU10811,40,23,57.8,4
STU10812,45,26,57.0,2
STU10813,45,30,66.8,3
STU10814,50,32,63.9,3
STU10815,50,31,61.5,5
STU10816,40,22,55.0,0
STU10817,50,42,83.2,2
STU10818,50,30,60.8,3
STU10819,40,15,37.4,2
STU10820,45,35,77.8,3
STU10821,50,29,58.2,5
STU10822,50,42,83.6,0
STU10823,45,25,55.2,1
STU10824,40,32,80.6,0
STU10825,50,25,50.9,6
STU10826,40,27,67.3,1
STU10827,50,18,36.4,5
STU10828,40,24,61.2,4
STU10829,50,35,69.3,1
STU10830,40,26,66.1,4
STU10831,40,28,70.2,5
STU10832,50,30,60.1,4
STU10833,50,31,62.2,2
STU10834,50,35,70.2,4
STU10835,50,32,64.1,2
STU10836,45,20,45.5,8
STU10837,50,27,54.2,4
STU10838,40,26,64.1,1
STU10839,50,36,71.4,5
STU10840,50,22,43.9,5
STU10841,45,27,60.7,2
STU10842,45,32,71.1,3
STU10843,45,32,70.9,2
STU10844,40,30,74.1,5
STU10845,45,34,74.5,2
STU10846,45,23,51.3,6
STU10847,50,30,59.3,5
STU10848,40,25,63.1,2
STU10849,50,26,51.8,2
STU10850,40,20,50.8,3
STU10851,40,22,55.5,1
STU10852,45,32,70.1,4
STU10853,50,36,72.1,1
STU10854,45,17,38.4,2
STU10855,40,19,48.1,4
STU10856,40,25,61.4,3
STU10857,40,27,67.1,0
STU10858,45,26,58.6,3
STU10859,40,24,59.3,4
STU10860,50,41,82.9,4
STU10861,50,23,45.9,3
STU10862,45,32,71.4,7
STU10863,45,19,42.3,2
STU10864,50,35,69.6,3
STU10865,45,42,94.2,4
STU10866,50,30,60.3,3
STU10867,50,34,67.4,3
STU10868,45,35,76.9,3
STU10869,45,38,84.2,5
STU10870,45,27,60.4,2
STU10871,50,28,56.0,7
STU10872,45,29,64.7,3
STU10873,45,29,63.6,3
STU10874,50,34,68.0,2
STU10875,45,38,84.9,1
STU10876,40,24,59.9,0
STU10877,40,31,77.1,6
STU10878,45,29,64.9,2
STU10879,50,37,73.4,2
STU10880,50,25,50.0,4
STU10881,45,32,72.0,3
STU10882,45,26,57.4,3
STU10883,50,28,55.3,0
STU10884,50,36,71.6,0
STU10885,50,38,76.1,2
STU10886,45,31,68.5,1
STU10887,50,40,80.1,3
STU10888,45,25,56.6,5
STU10889,40,36,91.2,3
STU10890,40,22,56.2,1
STU10891,45,31,69.0,3
STU10892,45,30,66.7,5
STU10893,45,30,67.2,4
STU10894,45,35,77.5,2
STU10895,50,41,82.6,1
STU10896,40,23,58.1,3
STU10897,45,33,73.9,1
STU10898,45,32,71.3,2
STU10899,45,34,75.5,2
STU10900,45,24,52.5,1
STU10901,45,28,63.3,4
STU10902,50,38,75.7,2
STU10903,45,37,82.6,4
STU10904,45,36,79.3,3
STU10905,45,37,83.2,2
STU10906,45,32,71.6,1
STU10907,45,32,70.6,5
STU10908,45,32,71.7,1
STU10909,45,26,58.4,6
STU10910,40,31,78.4,4
STU10911,40,34,85.7,3
STU10912,45,29,64.4,4
STU10913,40,27,68.7,4
STU10914,45,27,60.1,3
STU10915,45,22,49.0,2
STU10916,50,33,65.8,3
STU10917,50,32,65.0,2
STU10918,45,28,61.5,1
STU10919,45,38,83.4,2
STU10920,50,25,50.3,2
STU10921,45,33,72.7,0
STU10922,50,31,61.6,1
STU10923,45,38,83.9,4
STU10924,50,37,74.6,5
STU10925,40,27,66.7,3
STU10926,50,28,55.5,4
STU10927,45,31,69.6,2
STU10928,40,22,55.7,5
