student_id,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score
STU10304,11,13.2,3,11,62.5
STU10305,9,17.0,2,14,84.9
STU10306,12,15.4,4,11,74.1
STU10307,11,20.2,1,6,99.7
STU10308,10,16.9,8,11,92.8
STU10309,17,10.2,2,9,73.4
STU10310,15,12.6,2,6,75.9
STU10311,12,15.1,5,6,71.9
STU10312,10,21.7,1,11,60.2
STU10313,14,12.6,5,10,81.5
STU10314,13,6.3,5,11,69.5
STU10315,13,17.2,3,7,97.5
STU10316,7,11.2,1,6,72.8
STU10317,11,8.6,4,4,57.2
STU10318,10,15.1,5,13,77.4
STU10319,14,19.9,3,2,82.2
STU10320,16,12.1,4,7,78.5
STU10321,13,17.5,4,11,75.8
STU10322,12,18.4,4,13,70.5
STU10323,9,19.0,8,10,75.3
STU10324,8,11.3,4,12,74.1
STU10325,10,9.4,4,5,58.4
STU10326,11,10.1,9,9,95.9
STU10327,14,19.0,3,3,75.8
STU10328,13,18.3,4,12,72.3
STU10329,15,10.2,5,3,92.2
STU10330,14,25.7,4,5,55.4
STU10331,9,9.6,3,3,98.9
STU10332,11,20.0,2,7,62.6
STU10333,19,22.6,7,9,89.4
STU10334,10,15.5,3,4,60.4
STU10335,12,11.2,2,4,61.2
STU10336,7,11.3,6,5,79.2
STU10337,12,13.7,6,13,74.6
STU10338,10,20.4,6,6,60.8
STU10339,11,9.0,4,4,61.9
STU10340,13,5.8,4,7,67.2
STU10341,19,16.8,4,6,85.2
STU10342,12,17.9,1,9,75.5
STU10343,16,24.8,6,11,78.7
STU10344,9,8.1,5,5,65.6
STU10345,13,14.3,7,7,77.7
STU10346,20,20.8,2,10,55.4
STU10347,12,15.6,2,7,61.7
STU10348,5,14.0,7,11,83.6
STU10349,10,18.9,4,6,75.7
STU10350,9,12.0,3,12,93.8
STU10351,10,19.3,5,9,79.8
STU10352,13,8.7,6,5,56.9
STU10353,14,7.4,2,13,81.7
STU10354,10,13.6,1,7,56.1
STU10355,9,2.2,2,8,80.3
STU10356,17,15.4,2,11,69.0
STU10357,6,6.3,8,7,63.6
STU10358,8,16.4,4,9,72.3
STU10359,11,15.9,4,3,57.8
STU10360,10,14.7,6,13,68.2
STU10361,11,17.2,4,6,47.1
STU10362,18,16.0,5,4,85.1
STU10363,9,13.5,4,5,75.6
STU10364,16,24.2,6,13,70.2
STU10365,9,17.0,4,11,78.0
STU10366,10,18.9,3,9,58.4
STU10367,10,20.4,5,12,69.0
STU10368,16,18.3,3,13,79.3
STU10369,10,25.3,4,3,61.9
STU10370,13,15.8,1,10,86.2
STU10371,10,15.0,5,8,69.3
STU10372,11,11.8,2,13,50.4
STU10373,8,13.7,2,2,74.9
STU10374,11,11.3,4,12,68.4
STU10375,7,18.4,2,4,95.9
STU10376,11,10.4,3,13,68.7
STU10377,14,15.4,1,14,82.1
STU10378,19,17.8,4,9,67.2
STU10379,12,15.8,5,3,52.8
STU10380,11,10.5,4,11,75.6
STU10381,13,18.5,4,14,75.9
STU10382,11,14.6,4,8,83.2
STU10383,6,1.0,5,2,51.4
STU10384,13,10.1,4,4,77.9
STU10385,11,22.0,3,13,77.1
STU10386,6,22.4,1,11,76.2
STU10387,17,17.6,3,3,41.8
STU10388,16,18.9,5,13,84.2
STU10389,12,11.1,7,13,59.0
STU10390,14,13.7,4,3,82.9
STU10391,11,21.2,0,11,92.7
STU10392,12,17.1,5,3,81.6
STU10393,13,15.3,2,5,75.1
STU10394,8,14.1,4,7,69.9
STU10395,15,20.9,3,2,73.8
STU10396,8,20.6,3,11,59.7
STU10397,13,18.2,3,8,77.2
STU10398,18,15.3,4,8,70.0
STU10399,14,13.2,2,2,58.1
STU10400,11,18.5,2,11,60.4
STU10401,9,9.5,4,13,71.6
STU10402,8,10.5,7,14,56.2
STU10403,12,7.7,6,10,72.6
STU10404,9,21.2,4,9,87.0
STU10405,9,11.4,6,14,74.3
STU10406,12,17.0,7,3,69.7
STU10407,20,14.4,2,8,62.7
STU10408,8,29.5,0,3,77.0
STU10409,9,17.2,4,5,54.2
STU10410,10,5.7,5,14,70.8
STU10411,14,20.9,3,6,73.6
STU10412,14,13.1,6,11,64.4
STU10413,7,14.0,5,4,75.3
STU10414,8,11.6,4,8,95.4
STU10415,12,16.0,3,8,78.1
STU10416,15,15.9,2,7,86.2
STU10417,5,11.8,4,8,82.2
STU10418,13,12.5,4,4,89.8
STU10419,12,15.5,4,14,66.3
STU10420,11,3.3,5,8,48.0
STU10421,19,7.8,4,14,68.3
STU10422,5,23.3,6,8,60.5
STU10423,16,16.6,6,10,65.7
STU10424,16,12.4,4,3,62.9
STU10425,8,6.5,2,4,77.9
STU10426,13,14.7,2,5,89.1
STU10427,13,19.9,2,9,86.0
STU10428,13,28.2,4,2,70.8
STU10429,8,24.5,4,12,49.9
STU10430,16,10.6,9,3,62.7
STU10431,13,12.5,7,3,54.7
STU10432,11,7.6,0,3,71.2
STU10433,13,10.8,6,12,81.1
STU10434,13,13.9,3,3,97.3
STU10435,13,13.2,7,8,73.1
STU10436,14,25.3,3,7,45.9
STU10437,13,8.4,4,13,53.3
STU10438,10,14.8,4,8,69.8
STU10439,12,4.7,3,7,94.7
STU10440,6,16.7,4,11,84.5
STU10441,16,8.3,4,2,51.1
STU10442,14,20.5,1,7,53.8
STU10443,6,13.5,8,5,42.7
STU10444,9,8.0,4,10,80.1
STU10445,13,4.5,9,7,64.3
STU10446,12,10.1,1,10,64.0
STU10447,9,16.2,5,9,83.7
STU10448,8,17.1,6,14,59.8
STU10449,11,12.5,3,6,60.4
STU10450,12,19.6,6,11,74.2
STU10451,15,9.3,3,13,69.9
STU10452,15,1.0,7,8,82.8
STU10453,13,16.4,4,12,59.2
STU10454,17,21.5,2,9,75.3
STU10455,13,21.5,2,14,66.4
STU10456,11,8.5,5,13,69.7
STU10457,15,12.3,4,6,69.6
STU10458,16,18.6,4,13,65.7
STU10459,13,11.9,3,9,82.0
STU10460,16,15.5,5,11,73.7
STU10461,15,11.4,4,10,56.6
STU10462,16,9.6,6,6,74.4
STU10463,15,10.5,7,9,67.1
STU10464,13,19.8,4,10,66.2
STU10465,13,15.1,4,2,79.8
STU10466,9,21.4,2,8,68.6
STU10467,7,17.6,6,8,73.5
STU10468,17,23.0,3,12,79.6
STU10469,12,19.1,2,12,71.6
STU10470,9,18.8,2,3,43.7
STU10471,6,14.4,0,13,84.1
STU10472,15,30.0,3,3,48.7
STU10473,12,15.6,5,13,58.4
STU10474,20,5.1,2,9,67.2
STU10475,12,16.3,7,8,71.4
STU10476,11,10.1,2,4,52.2
STU10477,14,20.1,8,11,74.5
STU10478,12,18.6,5,5,83.0
STU10479,11,14.0,5,4,69.2
STU10480,10,10.6,1,5,67.6
STU10481,7,15.7,2,11,86.0
STU10482,12,11.8,2,14,66.0
STU10483,9,18.9,3,6,42.4
STU10484,16,17.8,3,11,75.0
STU10485,9,29.7,4,2,65.5
STU10486,16,12.8,6,7,63.7
STU10487,14,13.5,3,14,91.4
STU10488,14,14.2,4,6,60.1
STU10489,4,14.4,4,6,64.2
STU10490,7,20.1,6,10,60.4
STU10491,10,13.6,5,4,79.8
STU10492,12,24.9,3,4,83.4
STU10493,14,17.9,5,10,79.8
STU10494,10,12.6,1,9,74.1
STU10495,15,11.3,3,10,76.2
STU10496,8,20.2,5,11,78.2
STU10497,10,15.1,6,11,85.2
STU10498,8,15.0,9,9,98.0
STU10499,11,12.0,7,8,77.2
STU10500,8,14.7,4,3,64.3
STU10501,13,11.8,7,12,46.5
STU10502,8,21.8,3,13,83.6
STU10503,13,18.6,4,6,86.8
STU10504,9,14.1,3,11,65.2
STU10505,9,14.1,1,8,73.4
STU10506,12,15.5,3,6,81.1
STU10507,15,15.0,4,2,53.3
STU10508,17,10.2,2,12,47.4
STU10509,10,5.5,4,11,66.5
STU10510,10,11.0,4,7,62.6
STU10511,13,14.4,1,7,90.0
STU10512,18,11.3,6,13,72.8
STU10513,10,19.1,4,7,82.7
STU10514,13,13.9,5,4,46.8
STU10515,13,24.4,3,2,69.4
STU10516,11,12.2,1,8,66.4
STU10517,10,15.7,7,7,74.3
STU10518,14,13.6,5,6,81.4
STU10519,13,17.2,4,4,67.6
STU10520,11,20.3,2,14,84.3
STU10521,15,18.0,4,7,71.3
STU10522,17,4.8,3,11,63.8
STU10523,14,17.5,5,10,68.7
STU10524,10,9.9,4,13,45.0
STU10525,10,13.5,3,9,85.4
STU10526,11,18.4,3,12,70.8
STU10527,9,9.4,5,14,78.3
STU10528,10,20.8,3,9,86.4
STU10529,7,13.2,2,9,50.5
STU10530,15,25.9,5,2,41.2
STU10531,8,15.3,6,8,89.9
STU10532,14,23.5,4,2,60.8
STU10533,10,21.0,2,8,72.1
STU10534,12,11.9,5,3,66.1
STU10535,10,8.5,3,4,72.9
STU10536,14,15.6,3,11,84.5
STU10537,18,12.1,3,3,58.5
STU10538,9,22.9,4,11,92.6
STU10539,13,13.8,2,2,68.2
STU10540,10,13.5,6,6,91.8
STU10541,10,8.0,3,14,44.3
STU10542,14,17.1,4,9,62.2
STU10543,11,9.1,3,13,57.3
STU10544,10,17.2,4,7,56.5
STU10545,9,17.9,5,5,87.1
STU10546,12,11.3,5,14,60.2
STU10547,11,19.8,3,11,84.0
STU10548,17,13.6,1,2,80.9
STU10549,13,7.6,1,11,85.5
STU10550,14,22.7,3,3,51.5
STU10551,12,10.4,3,3,79.8
STU10552,11,17.5,3,12,87.4
STU10553,11,17.1,5,4,84.1
STU10554,15,16.9,9,3,71.3
STU10555,18,16.9,2,5,51.4
STU10556,17,10.1,3,5,72.7
STU10557,11,23.5,6,6,78.9
STU10558,13,19.8,4,10,66.1
STU10559,14,17.4,5,4,71.0
STU10560,9,8.3,3,7,83.6
STU10561,9,10.1,5,11,74.6
STU10562,11,18.3,1,12,89.8
STU10563,12,5.0,5,14,74.7
STU10564,14,16.7,4,5,69.3
STU10565,11,8.3,3,8,83.2
STU10566,10,10.7,2,5,81.1
STU10567,11,7.9,2,8,70.1
STU10568,9,16.2,3,2,87.2
STU10569,11,20.6,8,10,57.0
STU10570,12,16.7,4,14,68.5
STU10571,12,17.3,4,2,100.0
STU10572,18,15.8,5,6,88.5
STU10573,8,18.4,4,9,83.5
STU10574,13,17.3,4,9,60.9
STU10575,14,1.4,7,7,48.7
STU10576,12,19.5,4,7,68.8
STU10577,12,19.0,6,12,77.7
STU10578,7,13.2,1,3,86.3
STU10579,14,5.1,1,5,58.7
STU10580,12,16.2,2,9,74.6
STU10581,13,16.6,5,3,68.5
STU10582,7,12.8,2,7,73.8
STU10583,13,15.9,5,4,77.6
STU10584,12,20.4,3,8,68.5
STU10585,13,27.0,6,10,64.6
STU10586,17,15.7,5,9,69.9
STU10587,7,16.7,0,13,78.5
STU10588,14,10.9,2,9,78.4
STU10589,10,12.5,3,10,59.5
STU10590,8,14.3,4,3,57.3
STU10591,13,20.9,7,7,83.8
STU10592,6,19.1,2,10,56.1
STU10593,12,24.6,4,14,64.4
STU10594,9,7.5,3,3,69.7
STU10595,7,8.4,5,10,72.5
STU10596,14,20.5,1,3,71.4
STU10597,9,22.2,5,10,80.0
STU10598,8,15.2,4,2,90.6
STU10599,10,1.0,6,7,71.2
STU10600,12,11.3,4,7,60.9
STU10601,12,16.7,4,3,75.3
STU10602,10,10.5,4,12,68.6
STU10603,6,15.9,6,8,66.6
STU10604,13,24.5,4,11,80.7
STU10605,13,22.1,6,5,57.8
STU10606,9,19.0,5,5,65.5
STU10607,15,14.7,5,12,69.6
STU10608,9,12.5,3,10,81.8
STU10609,15,18.8,5,3,79.4
STU10610,10,15.1,5,10,83.8
STU10611,14,15.3,6,10,63.7
STU10612,12,7.2,6,13,92.6
STU10613,12,11.4,3,7,68.2
STU10614,12,18.8,2,11,79.1
STU10615,11,9.5,7,14,74.4
STU10616,15,16.3,2,8,63.2
STU10617,7,17.1,2,5,68.1
STU10618,10,17.4,7,2,79.1
STU10619,13,17.8,9,10,78.5
STU10620,8,18.1,2,14,76.2
STU10621,15,11.9,4,10,85.9
STU10622,13,7.7,6,12,87.3
STU10623,10,10.6,3,14,69.8
STU10624,11,18.6,4,2,62.5
STU10625,11,9.0,3,13,58.3
STU10626,11,9.8,6,5,77.6
STU10627,13,9.8,3,8,88.9
STU10628,15,5.8,2,4,74.7
STU10629,12,9.3,7,6,70.0
STU10630,13,20.0,3,6,84.3
STU10631,7,11.4,1,9,61.9
STU10632,11,6.3,2,10,70.8
STU10633,16,12.4,3,2,59.4
STU10634,8,17.6,0,3,79.9
STU10635,17,5.8,3,12,58.4
STU10636,10,19.8,8,6,83.9
STU10637,11,7.8,4,2,67.2
STU10638,8,13.0,5,7,95.4
STU10639,20,13.0,3,14,45.2
STU10640,8,12.2,4,7,75.2
STU10641,16,14.7,2,4,76.7
STU10642,16,18.9,1,5,66.6
STU10643,13,14.8,2,4,97.0
STU10644,11,12.0,2,6,90.8
STU10645,10,17.3,3,10,79.6
STU10646,8,16.0,4,14,66.2
STU10647,10,11.7,3,11,66.8
STU10648,15,15.2,6,4,60.9
STU10649,7,11.2,3,3,78.1
STU10650,16,10.7,3,14,51.3
STU10651,11,19.0,4,14,73.1
STU10652,9,17.2,3,7,73.6
STU10653,9,18.9,8,11,59.0
STU10654,16,18.2,7,2,77.8
STU10655,16,10.6,3,10,67.2
STU10656,11,20.0,4,12,72.3
STU10657,16,13.5,6,11,71.0
STU10658,12,19.6,7,4,65.7
STU10659,17,14.4,7,4,68.5
STU10660,11,16.6,10,9,78.5
STU10661,10,16.7,3,13,85.3
STU10662,6,19.1,5,7,81.7
STU10663,19,6.8,3,4,84.2
STU10664,14,7.1,3,7,54.1
STU10665,10,18.4,1,7,62.0
STU10666,10,16.8,2,4,59.8
STU10667,10,11.1,4,13,58.4
STU10668,13,16.8,5,12,67.0
STU10669,9,8.0,5,12,57.4
STU10670,7,31.3,4,7,68.0
STU10671,13,21.6,2,12,64.4
STU10672,12,18.1,2,11,87.6
STU10673,5,15.4,5,13,70.1
STU10674,12,11.9,0,9,92.6
STU10675,13,8.4,6,10,90.5
STU10676,13,14.4,4,4,69.5
STU10677,12,10.7,4,3,70.8
STU10678,10,11.0,2,11,81.3
STU10679,17,7.9,3,11,54.5
STU10680,10,16.2,1,13,81.8
STU10681,8,13.1,1,8,90.3
STU10682,7,17.7,5,13,62.2
STU10683,10,17.3,4,9,73.3
STU10684,11,16.1,5,14,65.2
STU10685,10,28.3,4,12,84.0
STU10686,7,19.1,4,10,92.2
STU10687,5,8.7,4,2,56.1
STU10688,9,17.3,6,14,73.1
STU10689,11,14.7,7,2,76.4
STU10690,12,8.3,1,12,80.4
STU10691,7,7.9,1,2,64.1
STU10692,13,17.3,6,12,65.7
STU10693,12,18.5,3,5,90.3
STU10694,12,9.8,3,13,53.4
STU10695,12,19.9,2,4,73.5
STU10696,15,16.4,5,8,65.7
STU10697,13,21.0,1,7,67.9
STU10698,11,20.4,8,4,92.8
STU10699,3,14.2,5,13,72.4
STU10700,9,23.2,1,4,89.8
STU10701,17,9.4,4,6,88.9
STU10702,9,27.0,2,5,85.3
STU10703,4,10.6,3,10,54.7
STU10704,15,14.8,4,13,71.9
STU10705,12,12.2,10,2,86.1
STU10706,12,13.1,5,2,86.7
STU10707,9,29.6,5,14,73.8
STU10708,13,12.7,8,13,75.1
STU10709,9,19.3,4,13,60.5
STU10710,16,13.8,3,6,41.6
STU10711,8,19.7,8,9,62.6
STU10712,16,12.3,5,5,92.9
STU10713,14,16.3,3,10,57.4
STU10714,11,18.1,4,8,75.4
STU10715,13,11.4,7,4,81.1
STU10716,11,28.8,4,7,64.3
STU10717,10,18.4,3,7,67.0
STU10718,10,13.9,3,6,67.7
STU10719,9,11.5,5,14,71.7
STU10720,16,15.5,3,9,78.5
STU10721,12,8.9,9,12,78.9
STU10722,13,23.9,1,2,59.8
STU10723,13,17.2,5,12,88.4
STU10724,11,14.6,6,13,71.1
STU10725,14,20.2,6,12,43.9
STU10726,13,11.4,4,14,58.0
STU10727,9,9.2,4,11,67.9
STU10728,17,14.3,4,5,63.4
STU10729,14,15.6,9,8,58.3
STU10730,11,17.7,4,7,70.5
STU10731,14,7.6,5,8,87.8
