student_id,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education
STU10104,25,Female,Medium,16.3,High-Speed,Bachelors
STU10105,21,Male,Medium,5.7,High-Speed,Doctorate
STU10106,22,Male,Low,8.8,High-Speed,Masters
STU10107,19,Female,Medium,21.5,High-Speed,Doctorate
STU10108,21,Male,Medium,19.1,High-Speed,Bachelors
STU10109,22,Male,Low,21.0,High-Speed,High School
STU10110,23,Male,Medium,3.0,High-Speed,Bachelors
STU10111,25,Male,Low,0.3,High-Speed,Bachelors
STU10112,23,Female,High,2.9,Moderate,Bachelors
STU10113,19,Female,Medium,3.1,High-Speed,High School
STU10114,22,Female,Low,22.8,Moderate,Bachelors
STU10115,23,Female,Medium,10.0,High-Speed,High School
STU10116,22,Female,Medium,0.8,High-Speed,Masters
STU10117,21,Male,Medium,1.4,High-Speed,High School
STU10118,19,Female,High,1.6,Limited,Bachelors
STU10119,23,Female,Medium,9.5,High-Speed,High School
STU10120,24,Female,High,12.6,High-Speed,High School
STU10121,21,Female,Medium,18.7,Moderate,Masters
STU10122,25,Male,Low,26.8,Limited,High School
STU10123,24,Male,Medium,2.1,Limited,High School
STU10124,24,Male,Medium,3.5,High-Speed,High School
STU10125,18,Male,Medium,2.6,High-Speed,Bachelors
STU10126,18,Female,High,4.2,Moderate,Bachelors
STU10127,19,Female,Medium,23.4,High-Speed,High School
STU10128,23,Male,High,8.1,Moderate,Bachelors
STU10129,23,Female,Medium,12.7,Moderate,High School
STU10130,23,Male,Medium,6.4,Moderate,Masters
STU10131,22,Male,Medium,0.3,High-Speed,Masters
STU10132,21,Male,Medium,0.6,High-Speed,Doctorate
STU10133,23,Male,High,7.3,Moderate,Masters
STU10134,21,Female,Medium,12.1,High-Speed,High School
STU10135,19,Male,Low,2.3,High-Speed,High School
STU10136,24,Female,Medium,12.2,High-Speed,Bachelors
STU10137,23,Female,Medium,15.8,High-Speed,High School
STU10138,19,Male,Low,5.0,High-Speed,High School
STU10139,23,Female,Low,13.0,Moderate,High School
STU10140,18,Female,Medium,4.9,High-Speed,Bachelors
STU10141,20,Male,Medium,10.8,High-Speed,Bachelors
STU10142,19,Female,Medium,13.7,High-Speed,High School
STU10143,23,Male,Low,45.8,High-Speed,High School
STU10144,25,Male,Low,4.0,Limited,Bachelors
STU10145,20,Male,Medium,5.0,Moderate,High School
STU10146,19,Female,Medium,1.7,High-Speed,Doctorate
STU10147,25,Female,Low,2.2,Moderate,High School
STU10148,25,Male,Medium,11.2,High-Speed,Bachelors
STU10149,22,Male,Medium,23.6,Limited,Bachelors
STU10150,25,Female,Low,4.8,High-Speed,High School
STU10151,23,Male,Low,1.9,High-Speed,Bachelors
STU10152,22,Male,Low,3.2,High-Speed,Bachelors
STU10153,18,Male,High,5.8,Moderate,Masters
STU10154,23,Other,Medium,3.3,High-Speed,Bachelors
STU10155,24,Male,Medium,2.5,Moderate,High School
STU10156,25,Female,Medium,12.7,High-Speed,High School
STU10157,18,Female,Medium,0.1,Limited,High School
STU10158,20,Male,Medium,7.4,High-Speed,High School
STU10159,19,Female,Medium,15.0,Limited,Bachelors
STU10160,25,Male,Low,2.9,High-Speed,Doctorate
STU10161,21,Female,Medium,8.8,High-Speed,Bachelors
STU10162,18,Female,Medium,10.5,Limited,Bachelors
STU10163,21,Female,Medium,10.1,Limited,Bachelors
STU10164,25,Male,Medium,5.6,Moderate,Masters
STU10165,21,Female,Low,4.0,High-Speed,High School
STU10166,25,Male,Medium,17.2,High-Speed,Bachelors
STU10167,19,Male,Medium,13.5,High-Speed,Masters
STU10168,20,Male,High,3.7,High-Speed,High School
STU10169,19,Female,Medium,1.0,High-Speed,High School
STU10170,23,Female,Medium,0.7,High-Speed,Doctorate
STU10171,18,Male,Medium,0.9,Moderate,Bachelors
STU10172,21,Female,High,8.3,Moderate,High School
STU10173,19,Male,Medium,0.5,High-Speed,Bachelors
STU10174,25,Female,Medium,3.9,High-Speed,Bachelors
STU10175,19,Male,Medium,13.3,High-Speed,Bachelors
STU10176,19,Female,Medium,3.3,Moderate,High School
STU10177,18,Male,High,13.7,High-Speed,High School
STU10178,20,Female,Low,13.0,Moderate,Bachelors
STU10179,24,Male,Low,2.7,High-Speed,Bachelors
STU10180,19,Male,High,12.4,High-Speed,Masters
STU10181,18,Male,Medium,13.1,Moderate,High School
STU10182,21,Female,Medium,4.8,Moderate,Masters
STU10183,25,Female,Medium,2.2,High-Speed,High School
STU10184,23,Male,Low,7.0,High-Speed,Bachelors
STU10185,24,Female,Medium,24.2,Limited,Masters
STU10186,22,Female,Medium,9.7,High-Speed,Bachelors
STU10187,24,Female,Medium,1.8,Moderate,High School
STU10188,25,Female,Medium,10.9,Moderate,High School
STU10189,24,Male,High,5.3,Moderate,Bachelors
STU10190,25,Male,Low,8.5,High-Speed,Bachelors
STU10191,18,Female,High,12.6,High-Speed,Doctorate
STU10192,22,Female,Low,6.9,Limited,Bachelors
STU10193,19,Female,Medium,16.0,High-Speed,Masters
STU10194,19,Male,High,12.2,High-Speed,Bachelors
STU10195,24,Male,Medium,9.1,Moderate,Masters
STU10196,18,Female,Medium,1.6,High-Speed,High School
STU10197,22,Female,Medium,17.2,Moderate,Masters
STU10198,19,Female,Medium,26.1,Moderate,High School
STU10199,21,Female,Low,1.4,Moderate,Masters
STU10200,20,Female,High,6.4,Moderate,High School
STU10201,20,Male,Medium,2.8,High-Speed,Bachelors
STU10202,19,Male,Medium,13.3,High-Speed,Bachelors
STU10203,22,Female,Medium,12.1,Moderate,Doctorate
STU10204,23,Female,Low,1.4,High-Speed,Bachelors
STU10205,19,Male,Low,19.9,Limited,High School
STU10206,23,Male,Medium,1.9,Moderate,Bachelors
STU10207,23,Female,Medium,15.2,High-Speed,High School
STU10208,25,Male,Medium,5.8,Moderate,High School
STU10209,25,Male,High,3.8,High-Speed,High School
STU10210,22,Female,Low,1.6,High-Speed,High School
STU10211,23,Female,Medium,1.7,Moderate,Bachelors
STU10212,21,Female,Low,10.3,Moderate,Masters
STU10213,22,Male,Medium,7.6,High-Speed,Masters
STU10214,19,Female,Low,1.2,High-Speed,High School
STU10215,24,Male,High,1.1,High-Speed,High School
STU10216,21,Male,Low,0.7,High-Speed,High School
STU10217,18,Female,High,12.9,High-Speed,High School
STU10218,20,Female,Medium,11.8,High-Speed,High School
STU10219,19,Female,High,0.6,Moderate,High School
STU10220,19,Female,Medium,7.8,Limited,Bachelors
STU10221,19,Female,High,0.8,High-Speed,Bachelors
STU10222,21,Male,Low,22.2,High-Speed,Bachelors
STU10223,18,Male,Medium,22.6,Moderate,High School
STU10224,24,Male,High,11.4,Moderate,Bachelors
STU10225,22,Male,Low,24.8,Limited,Masters
STU10226,25,Female,Low,15.8,High-Speed,High School
STU10227,18,Male,Medium,16.8,High-Speed,High School
STU10228,21,Female,High,8.0,High-Speed,High School
STU10229,19,Female,Medium,3.5,Moderate,High School
STU10230,20,Female,Medium,2.3,High-Speed,Bachelors
STU10231,19,Female,Low,3.8,High-Speed,High School
STU10232,22,Female,Low,9.4,High-Speed,Bachelors
STU10233,23,Female,High,1.8,High-Speed,High School
STU10234,20,Male,Low,2.8,Moderate,Bachelors
STU10235,19,Female,Medium,6.0,High-Speed,High School
STU10236,24,Male,High,2.5,Moderate,Bachelors
STU10237,20,Male,Low,8.4,High-Speed,High School
STU10238,23,Female,Medium,24.4,High-Speed,High School
STU10239,25,Male,Low,13.1,High-Speed,Masters
STU10240,18,Female,Medium,10.4,High-Speed,Bachelors
STU10241,21,Female,Low,8.3,High-Speed,High School
STU10242,25,Female,Medium,6.4,Moderate,Bachelors
STU10243,19,Male,Medium,2.0,Moderate,Bachelors
STU10244,22,Male,Medium,21.4,High-Speed,Bachelors
STU10245,18,Female,Medium,2.7,High-Speed,Bachelors
STU10246,25,Male,Low,0.9,Limited,Masters
STU10247,19,Female,Medium,13.2,High-Speed,High School
STU10248,18,Female,Medium,1.8,High-Speed,High School
STU10249,25,Female,Medium,4.4,High-Speed,High School
STU10250,22,Male,Low,0.3,Moderate,Bachelors
STU10251,19,Male,Medium,1.4,High-Speed,Masters
STU10252,23,Female,Low,1.8,High-Speed,Masters
STU10253,23,Male,Medium,0.5,High-Speed,Bachelors
STU10254,22,Male,Low,10.2,High-Speed,Doctorate
STU10255,20,Female,Medium,17.2,High-Speed,Bachelors
STU10256,22,Female,Low,4.4,Moderate,Bachelors
STU10257,20,Female,High,19.7,Moderate,Doctorate
STU10258,19,Female,High,2.3,High-Speed,High School
STU10259,25,Male,Low,3.7,High-Speed,Bachelors
STU10260,20,Female,Medium,1.6,Moderate,Bachelors
STU10261,19,Other,Low,9.2,Moderate,Masters
STU10262,19,Male,Medium,5.2,High-Speed,Masters
STU10263,24,Female,Medium,9.0,High-Speed,Masters
STU10264,21,Female,Medium,13.6,High-Speed,Masters
STU10265,19,Female,Medium,7.5,High-Speed,Bachelors
STU10266,20,Female,Low,9.4,High-Speed,High School
STU10267,21,Female,Medium,26.0,Moderate,High School
STU10268,21,Male,Low,3.4,High-Speed,Bachelors
STU10269,19,Male,Medium,4.2,Moderate,Bachelors
STU10270,22,Female,Medium,12.0,Moderate,Bachelors
STU10271,22,Female,Medium,9.0,Moderate,Bachelors
STU10272,23,Female,Low,1.9,High-Speed,Masters
STU10273,21,Female,Medium,4.5,High-Speed,High School
STU10274,19,Female,Medium,6.0,Limited,Masters
STU10275,24,Female,Low,5.2,Moderate,Masters
STU10276,22,Female,Medium,1.9,Moderate,Bachelors
STU10277,24,Female,High,24.5,High-Speed,Bachelors
STU10278,19,Female,High,13.6,High-Speed,Bachelors
STU10279,19,Female,Medium,6.2,Moderate,Bachelors
STU10280,25,Female,Medium,10.8,High-Speed,High School
STU10281,21,Male,Low,21.6,High-Speed,High School
STU10282,25,Male,High,1.4,High-Speed,High School
STU10283,24,Male,Low,2.7,High-Speed,High School
STU10284,25,Female,High,7.4,High-Speed,High School
STU10285,23,Male,Medium,15.2,High-Speed,High School
STU10286,21,Male,Medium,0.4,High-Speed,Bachelors
STU10287,18,Female,High,39.3,Moderate,Doctorate
STU10288,25,Male,Low,5.8,High-Speed,Bachelors
STU10289,24,Female,Medium,4.2,High-Speed,Masters
STU10290,22,Male,Medium,3.3,Moderate,Bachelors
STU10291,22,Male,Low,1.8,High-Speed,Bachelors
STU10292,22,Female,Medium,14.9,High-Speed,Bachelors
STU10293,20,Male,Medium,29.5,Moderate,High School
STU10294,19,Male,Medium,5.1,Limited,Masters
STU10295,21,Female,Low,28.9,High-Speed,Masters
STU10296,22,Female,High,16.5,High-Speed,Bachelors
STU10297,18,Male,Low,6.2,Moderate,High School
STU10298,22,Female,Low,10.6,High-Speed,Bachelors
STU10299,23,Male,Low,5.4,Moderate,High School
STU10300,19,Male,Low,7.8,Limited,High School
STU10301,24,Female,Low,0.6,Limited,Masters
STU10302,19,Female,High,11.3,High-Speed,Bachelors
STU10303,25,Female,Medium,0.5,High-Speed,Bachelors
STU10304,24,Female,Low,16.1,Limited,Masters
STU10305,24,Female,Low,16.6,High-Speed,Bachelors
STU10306,25,Female,Medium,2.6,High-Speed,Bachelors
STU10307,21,Male,High,3.7,Moderate,High School
STU10308,25,Female,Low,6.2,High-Speed,High School
STU10309,20,Male,Low,8.6,High-Speed,Bachelors
STU10310,24,Male,Low,3.2,Moderate,Bachelors
STU10311,24,Male,Low,8.5,High-Speed,High School
STU10312,25,Male,Low,3.4,High-Speed,High School
STU10313,21,Female,Medium,0.5,High-Speed,Bachelors
STU10314,22,Female,Low,0.0,Moderate,Bachelors
STU10315,23,Female,Medium,1.0,High-Speed,Bachelors
STU10316,18,Male,Low,14.9,High-Speed,Bachelors
STU10317,21,Male,High,30.9,Moderate,High School
STU10318,20,Male,High,5.3,Moderate,Bachelors
STU10319,21,Male,Medium,6.8,High-Speed,Masters
STU10320,19,Female,Medium,1.5,Moderate,High School
STU10321,22,Female,Medium,7.6,High-Speed,Bachelors
STU10322,22,Female,Medium,1.5,Moderate,Bachelors
STU10323,24,Male,Medium,9.0,High-Speed,Bachelors
STU10324,22,Female,Medium,25.7,High-Speed,High School
STU10325,22,Female,High,2.1,Moderate,Masters
STU10326,25,Female,High,13.7,High-Speed,Bachelors
STU10327,22,Female,Medium,0.2,High-Speed,Masters
STU10328,22,Male,Medium,4.5,High-Speed,High School
STU10329,18,Male,Low,1.1,Moderate,Bachelors
STU10330,20,Male,Low,4.1,High-Speed,Bachelors
STU10331,24,Female,Medium,1.8,High-Speed,High School
STU10332,25,Male,Low,4.4,High-Speed,High School
STU10333,22,Male,High,5.1,High-Speed,Bachelors
STU10334,24,Male,Low,3.4,High-Speed,High School
STU10335,20,Male,Medium,10.2,High-Speed,Bachelors
STU10336,25,Female,Medium,23.9,High-Speed,High School
STU10337,23,Female,Medium,4.9,High-Speed,High School
STU10338,22,Male,Medium,2.0,Moderate,Bachelors
STU10339,24,Male,High,3.0,Moderate,High School
STU10340,21,Female,Medium,18.3,Moderate,Doctorate
STU10341,25,Male,Medium,8.1,High-Speed,Masters
STU10342,25,Male,Low,5.8,Limited,Bachelors
STU10343,24,Male,Medium,1.5,High-Speed,Masters
STU10344,22,Male,High,5.7,Limited,Masters
STU10345,19,Female,Medium,3.1,High-Speed,High School
STU10346,18,Female,High,27.2,High-Speed,Masters
STU10347,21,Male,Medium,20.5,High-Speed,High School
STU10348,21,Male,Low,0.8,High-Speed,Bachelors
STU10349,19,Female,Low,6.9,Moderate,Bachelors
STU10350,22,Female,Medium,2.4,Moderate,Bachelors
STU10351,25,Female,Medium,5.0,Limited,High School
STU10352,25,Female,Medium,19.9,Moderate,High School
STU10353,18,Male,Low,7.1,High-Speed,Bachelors
STU10354,21,Male,Medium,3.9,High-Speed,High School
STU10355,18,Female,Medium,2.2,Limited,Bachelors
STU10356,21,Male,Medium,15.3,High-Speed,Bachelors
STU10357,22,Female,Low,9.3,Moderate,High School
STU10358,23,Female,Low,6.0,High-Speed,High School
STU10359,21,Female,Low,2.3,High-Speed,Bachelors
STU10360,23,Male,Low,3.9,Limited,Bachelors
STU10361,21,Female,Low,30.5,High-Speed,High School
STU10362,25,Male,Low,7.0,High-Speed,High School
STU10363,20,Female,Medium,4.9,High-Speed,High School
STU10364,22,Female,Medium,7.0,Moderate,High School
STU10365,19,Male,High,14.3,High-Speed,Bachelors
STU10366,23,Female,Low,3.9,High-Speed,Bachelors
STU10367,19,Female,Medium,1.9,High-Speed,Bachelors
STU10368,22,Male,Medium,8.4,High-Speed,Masters
STU10369,24,Male,Low,10.4,High-Speed,High School
STU10370,19,Male,High,11.8,High-Speed,Bachelors
STU10371,22,Male,Low,20.3,Limited,Bachelors
STU10372,25,Male,High,4.4,Limited,Bachelors
STU10373,19,Female,High,0.7,High-Speed,Bachelors
STU10374,23,Male,Medium,30.2,Moderate,Bachelors
STU10375,20,Male,Medium,5.4,High-Speed,Bachelors
STU10376,19,Female,Medium,9.3,High-Speed,High School
STU10377,23,Male,Medium,10.4,High-Speed,Bachelors
STU10378,21,Female,Medium,7.5,High-Speed,Bachelors
STU10379,22,Male,Low,2.2,High-Speed,Doctorate
STU10380,18,Male,Low,13.4,High-Speed,Bachelors
STU10381,24,Female,Medium,15.5,Moderate,Bachelors
STU10382,25,Female,Medium,7.6,High-Speed,Bachelors
STU10383,18,Female,High,6.4,Moderate,Masters
STU10384,25,Female,Low,1.1,High-Speed,Doctorate
STU10385,22,Female,High,0.8,High-Speed,Bachelors
STU10386,25,Male,Low,3.9,High-Speed,Bachelors
STU10387,20,Male,Medium,3.5,High-Speed,High School
STU10388,19,Female,Medium,29.2,Moderate,Bachelors
STU10389,20,Female,Medium,14.5,Moderate,Bachelors
STU10390,18,Other,Low,10.2,High-Speed,Bachelors
STU10391,24,Male,Medium,6.9,Moderate,High School
STU10392,23,Male,High,1.7,Limited,Bachelors
STU10393,24,Female,Medium,36.5,Moderate,High School
STU10394,22,Male,Medium,4.5,High-Speed,Bachelors
STU10395,22,Female,High,1.1,Moderate,High School
STU10396,20,Female,Medium,6.5,High-Speed,Bachelors
STU10397,23,Male,Medium,19.7,Moderate,High School
STU10398,20,Female,Low,20.7,High-Speed,High School
STU10399,19,Female,High,0.1,High-Speed,Bachelors
STU10400,21,Male,Medium,20.7,High-Speed,High School
STU10401,23,Female,Low,3.0,High-Speed,Bachelors
STU10402,21,Female,Low,0.4,Limited,Masters
STU10403,24,Female,High,17.9,High-Speed,Doctorate
STU10404,19,Male,Low,18.9,High-Speed,High School
STU10405,25,Female,High,8.6,Limited,Masters
STU10406,25,Male,Low,8.1,High-Speed,High School
STU10407,21,Male,Medium,15.9,High-Speed,Masters
STU10408,18,Female,Medium,14.7,High-Speed,Bachelors
STU10409,24,Male,Medium,21.0,High-Speed,High School
STU10410,21,Male,High,7.6,High-Speed,Bachelors
STU10411,19,Female,Medium,32.6,High-Speed,High School
STU10412,21,Female,Medium,52.8,Moderate,Bachelors
STU10413,22,Female,Low,1.2,Limited,Bachelors
STU10414,20,Female,Low,18.0,High-Speed,Bachelors
STU10415,18,Male,Low,6.6,High-Speed,Bachelors
STU10416,22,Male,Medium,4.7,High-Speed,Doctorate
STU10417,22,Male,Low,9.0,Moderate,Masters
STU10418,19,Female,Low,0.5,High-Speed,Bachelors
STU10419,20,Female,Medium,6.7,Moderate,Bachelors
STU10420,20,Female,Medium,19.4,High-Speed,Masters
STU10421,23,Female,Medium,2.3,Limited,Masters
STU10422,24,Male,Low,5.3,High-Speed,High School
STU10423,18,Female,Low,26.6,Moderate,High School
STU10424,24,Male,High,5.3,High-Speed,High School
STU10425,19,Female,Low,4.2,Moderate,Bachelors
STU10426,18,Male,High,5.5,High-Speed,High School
STU10427,23,Female,High,7.0,High-Speed,Bachelors
STU10428,21,Male,Medium,9.5,High-Speed,Bachelors
STU10429,22,Male,Low,15.3,Moderate,Bachelors
STU10430,18,Male,High,5.7,Moderate,Bachelors
STU10431,24,Female,Medium,16.2,High-Speed,High School
STU10432,22,Female,Medium,7.2,High-Speed,Masters
STU10433,19,Male,Medium,3.9,High-Speed,Masters
STU10434,24,Male,Low,10.2,Moderate,Bachelors
STU10435,21,Female,Low,12.0,Moderate,Masters
STU10436,19,Male,Medium,7.8,Moderate,High School
STU10437,25,Female,Medium,0.6,High-Speed,Bachelors
STU10438,21,Female,Medium,1.8,Limited,High School
STU10439,21,Male,Medium,3.2,Moderate,Bachelors
STU10440,22,Male,Medium,3.2,Moderate,High School
STU10441,19,Other,Medium,10.6,High-Speed,Bachelors
STU10442,19,Male,High,0.2,Moderate,High School
STU10443,18,Male,Low,13.4,High-Speed,Bachelors
STU10444,24,Female,Medium,2.9,High-Speed,High School
STU10445,25,Female,Low,3.5,High-Speed,Masters
STU10446,19,Other,Medium,7.1,High-Speed,Bachelors
STU10447,18,Female,Medium,2.3,High-Speed,High School
STU10448,25,Male,High,20.5,High-Speed,High School
STU10449,20,Male,Low,0.8,High-Speed,Masters
STU10450,20,Female,High,5.6,Moderate,High School
STU10451,25,Female,Low,18.0,High-Speed,Bachelors
STU10452,20,Male,Medium,9.1,High-Speed,Bachelors
STU10453,23,Female,Low,3.3,High-Speed,High School
STU10454,19,Male,High,5.2,Moderate,High School
STU10455,23,Female,Medium,11.7,Moderate,Bachelors
STU10456,24,Male,Medium,34.4,High-Speed,High School
STU10457,19,Male,High,21.2,Limited,High School
STU10458,18,Male,Low,4.0,High-Speed,High School
STU10459,23,Male,Low,60.0,Limited,High School
STU10460,23,Male,High,0.0,High-Speed,High School
STU10461,24,Female,Medium,0.3,High-Speed,Doctorate
STU10462,23,Female,Low,16.5,High-Speed,Bachelors
STU10463,21,Female,Medium,2.1,High-Speed,Bachelors
STU10464,18,Female,Medium,0.6,High-Speed,High School
STU10465,20,Male,Low,2.6,Moderate,High School
STU10466,18,Male,Low,5.3,Moderate,Masters
STU10467,21,Female,Low,12.5,High-Speed,Bachelors
STU10468,24,Male,Medium,9.3,High-Speed,High School
STU10469,24,Female,High,2.6,High-Speed,Bachelors
STU10470,19,Male,High,6.6,High-Speed,Bachelors
STU10471,18,Female,Medium,24.8,Moderate,Masters
STU10472,25,Male,Low,16.0,High-Speed,High School
STU10473,25,Female,High,3.7,Moderate,Bachelors
STU10474,24,Female,Medium,38.3,High-Speed,Bachelors
STU10475,23,Other,Low,11.7,High-Speed,Doctorate
STU10476,24,Male,High,0.6,High-Speed,Masters
STU10477,24,Female,Medium,0.3,High-Speed,High School
STU10478,24,Female,Medium,1.8,High-Speed,Bachelors
STU10479,24,Female,Medium,12.4,Moderate,Bachelors
STU10480,25,Female,Low,1.9,High-Speed,Bachelors
STU10481,25,Female,Low,6.8,High-Speed,Masters
STU10482,20,Male,Medium,0.9,Moderate,Masters
STU10483,20,Female,Low,24.1,High-Speed,High School
STU10484,19,Female,Medium,4.0,Moderate,High School
STU10485,24,Female,Medium,22.7,High-Speed,Bachelors
STU10486,25,Male,Medium,27.5,High-Speed,High School
STU10487,18,Male,Medium,0.1,Moderate,High School
STU10488,21,Female,Medium,5.9,Moderate,Bachelors
STU10489,19,Female,High,0.2,High-Speed,Masters
STU10490,25,Male,Medium,22.7,High-Speed,High School
STU10491,18,Female,Low,6.9,Moderate,Bachelors
STU10492,24,Male,Low,0.7,High-Speed,High School
STU10493,22,Male,Medium,1.1,High-Speed,High School
STU10494,24,Male,Low,4.6,Moderate,High School
STU10495,20,Male,Low,26.8,Moderate,High School
STU10496,21,Female,Low,11.2,Moderate,Masters
STU10497,25,Male,Medium,19.2,Moderate,Masters
STU10498,25,Female,High,4.3,Moderate,Bachelors
STU10499,23,Other,Low,0.4,Moderate,High School
STU10500,21,Female,Medium,34.8,Moderate,Bachelors
STU10501,23,Female,Medium,0.2,High-Speed,High School
STU10502,21,Male,Low,28.0,High-Speed,High School
STU10503,20,Female,High,4.4,Moderate,Bachelors
STU10504,23,Female,Medium,0.1,Moderate,Bachelors
STU10505,18,Male,Medium,11.1,High-Speed,High School
STU10506,23,Female,Medium,37.4,High-Speed,High School
